2025-11-19 12:45:03 | ENCABEZADO GUARDADO: IDPEDIDO=0 | FOLIO=
2025-11-19 12:46:17 | ENCABEZADO GUARDADO: IDPEDIDO=0 | FOLIO=
2025-11-19 12:50:22 | ENCABEZADO GUARDADO: IDPEDIDO=0 | FOLIO=
2025-11-19 13:04:56 | ENCABEZADO GUARDADO: IDPEDIDO=0 | FOLIO= | DATA: null
2025-11-19 13:13:55 | ENCABEZADO GUARDADO: IDPEDIDO=37 | FOLIO=TIJ-PED-20251119-0012 | RESP: {"ok":true,"msg":"OK","IdPedido":37,"Folio":"TIJ-PED-20251119-0012"}
2025-11-19 13:13:55 | ENCABEZADO GUARDADO: IDPEDIDO=37 | FOLIO=TIJ-PED-20251119-0012 | DATA: null
2025-11-19 13:14:24 | ENCABEZADO GUARDADO: IDPEDIDO=38 | FOLIO=TIJ-PED-20251119-0013 | RESP: {"ok":true,"msg":"OK","IdPedido":38,"Folio":"TIJ-PED-20251119-0013"}
2025-11-19 13:14:24 | ENCABEZADO GUARDADO: IDPEDIDO=38 | FOLIO=TIJ-PED-20251119-0013 | DATA: null
2025-11-19 14:01:46 | ENCABEZADO GUARDADO: IDPEDIDO=39 | FOLIO=TIJ-PED-20251119-0014 | RESP: {"ok":true,"msg":"OK","IdPedido":39,"Folio":"TIJ-PED-20251119-0014"}
2025-11-19 14:01:46 | ENCABEZADO GUARDADO: IDPEDIDO=39 | FOLIO=TIJ-PED-20251119-0014 | DATA: null
2025-11-19 14:03:13 | ENCABEZADO GUARDADO: IDPEDIDO=40 | FOLIO=TIJ-PED-20251119-0015 | RESP: {"ok":true,"msg":"OK","IdPedido":40,"Folio":"TIJ-PED-20251119-0015"}
2025-11-19 14:03:13 | ENCABEZADO GUARDADO: IDPEDIDO=40 | FOLIO=TIJ-PED-20251119-0015 | DATA: null
2025-11-19 14:08:24 | ENCABEZADO GUARDADO: IDPEDIDO=41 | FOLIO=TIJ-PED-20251119-0016 | RESP: {"ok":true,"msg":"OK","IdPedido":41,"Folio":"TIJ-PED-20251119-0016"}
2025-11-19 14:14:52 | ENCABEZADO GUARDADO: IDPEDIDO=42 | FOLIO=TIJ-PED-20251119-0017 | RESP: {"ok":true,"msg":"OK","IdPedido":42,"Folio":"TIJ-PED-20251119-0017"}
2025-11-19 14:25:07 | ENCABEZADO GUARDADO: IDPEDIDO=43 | FOLIO=TIJ-PED-20251119-0018 | RESP: {"ok":true,"msg":"OK","IdPedido":43,"Folio":"TIJ-PED-20251119-0018"}
2025-11-19 14:26:32 | ENCABEZADO GUARDADO: IDPEDIDO=44 | FOLIO=TIJ-PED-20251119-0019 | RESP: {"ok":true,"msg":"OK","IdPedido":44,"Folio":"TIJ-PED-20251119-0019"}
2025-11-19 14:27:43 | ENCABEZADO GUARDADO: IDPEDIDO=45 | FOLIO=TIJ-PED-20251119-0020 | RESP: {"ok":true,"msg":"OK","IdPedido":45,"Folio":"TIJ-PED-20251119-0020"}
2025-11-19 14:28:13 | ENCABEZADO GUARDADO: IDPEDIDO=46 | FOLIO=TIJ-PED-20251119-0021 | RESP: {"ok":true,"msg":"OK","IdPedido":46,"Folio":"TIJ-PED-20251119-0021"}
2025-11-19 14:29:04 | ENCABEZADO GUARDADO: IDPEDIDO=47 | FOLIO=TIJ-PED-20251119-0022 | RESP: {"ok":true,"msg":"OK","IdPedido":47,"Folio":"TIJ-PED-20251119-0022"}
